,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
42230,4 15부정선거 집단 문재인과 민주당 은 도둑질이 생활화되어 있어서 저 집단을 그대로 두면 후대들 완전 망친다 윤석열 안철수의 조건없는 단일화로 압도적 정권교체하는 건 국민의 뜻 준석아 너 죽고 싶으면 단일화 방해해라,0.71,0.04,0.01,0.02,0.01,0.02,0.01,0.03,0.08,0.2
42911,중대재해법 위반혐의로 조사 받아야 하고 불법적인 버스 개조로 인한 사망사고를 발생케한 혐의로 미필적 고의로 인한 사망 사건에 대한 수사를 받아야 하는데도 선거 유세를 다시 하겠다는 안철수 이 놈은 참으로 뻔뻔하기 짝이 없는 놈이 분명하다,0.6,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.07,0.55
43371,영남 사람 앞째비 세워서 권력 장악한다기본 전략임노무현문재인안철수PK에서이재명TK로 변경한 것일 뿐임동진론애초부터 다른 지역 분 비영남권 들은생각조차도 안하고 있음윤석열 서울 출신당선되면영남 대권 독식론 이 구도는 깨짐,0.72,0.01,0.02,0.01,0.01,0.01,0.01,0.05,0.14,0.2
43376,안철수 어떤 풍파에도 결코 굴하지 않겠다 완주 시사,0.7,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.11,0.31
43947,이번 선거에서 투표 할 후보는안철수 대통령 후보밖에 없다,0.77,0.02,0.01,0.04,0.01,0.07,0.02,0.09,0.19,0.04
43966,침통한 표정의 안철수 후보 다음 뉴스,0.87,0.03,0.02,0.04,0.01,0.02,0.01,0.03,0.05,0.17
44012,안철수 고인 뜻 받을어 완주한다 18일 오후부터 선거활동 재개 기호4안철수만루홈런치자 기호4안철수대선승리하자,0.92,0.05,0.02,0.04,0.02,0.02,0.02,0.04,0.04,0.05
44131,안철수는,0.9,0.05,0.02,0.05,0.01,0.02,0.01,0.03,0.04,0.08
44161,김미경교수님의 빠른 쾌유와 건강하신모습으로 복귀하시길 간절히 기도합니다 또한 고인의 명복을 빕니다 유가족들에게 위로의 말을 전합니다 안철수후보님의 더좋은 정권교체 꼭이룰것입니다 힘내시고 더욱 열심히달려주십시요 대한민국의 정치를 공정함 상식이 통하는 시대를 만들어주세요,0.85,0.02,0.02,0.03,0.01,0.01,0.01,0.03,0.06,0.16
45952,안철수 선거운동 전면 중단 천안 내려가 사태 수습,0.85,0.02,0.02,0.04,0.02,0.02,0.01,0.06,0.12,0.05
50875,안철수는 먼저 자신의 사당 해체하고 공당에서 정치해서 정치력 부터 키워라 하긴 공당 사당 개념이 있다면 국민이 만들어 준 40석 공당을 공중분해 시키는 멍청한 짓을 했겠냐마는,0.87,0.02,0.02,0.02,0.01,0.01,0.01,0.04,0.09,0.1
53266,2차 TV토론 2 이재명 안철수 포털 뉴스서비스 아웃링크 의무화 quot 포털 뉴스편집금지법 quot,0.6,0.02,0.01,0.03,0.01,0.01,0.01,0.06,0.18,0.09
54275,안철수 후보가 질문하면 상대방 후보들은 왜이리 조심스러워짐 선생님 앞에 학생들 처럼 답변들이 거의 소심 자기 아는 대장동등만 당당하게 ㅋㅋㅋㅋ,0.76,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.09,0.21
54798,안철수 카메라 각도 좀 이상한거 아님 혼 드워프 같아 보여,0.74,0.01,0.01,0.03,0.01,0.02,0.01,0.04,0.13,0.16
54959,오늘 토론은 심상정은 국힘당 2중대 안철수는 민주당 2중대 ㅋㅋㅋㅋ,0.8,0.02,0.01,0.04,0.01,0.02,0.01,0.03,0.14,0.18
54969,아 ㅋㅋㅋㅋㅋ 금속노조사무처장 출신 심상정씨 스타트업 안대표 안철수한테 강성노조의 참맛을 보여주러옴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.88,0.02,0.01,0.03,0.01,0.02,0.01,0.03,0.15,0.09
55673,대통령 후보 호감도 안철수 37 윤석열 34 이재명 34 심상정 30,0.78,0.02,0.03,0.02,0.01,0.01,0.01,0.04,0.15,0.14
56356,안철수 인터뷰 돈 때문에 포기하는 일은 없다 국민의당 안철수 대선 후보가 3 9대선에 끝까지 갈 것이다 만약 단일화가 안 돼서 선거에서 패배한다면 그 책임은 큰 정당에 있는 것 이라고 9일 밝혔다,0.8,0.01,0.01,0.03,0.02,0.02,0.01,0.09,0.21,0.09
