,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
9996,죄송합니다 한마디 남기고 안철수는 국민역당 으로 당적을 바꿔 버렸습니다 이것을 어떻게 이해해야 할지 그동안 국민의당을 지지해 왔던 분들은 이게 무슨 일이래요 하시겠지요 안철수의 선택을 두고 의견이 분분합니다 악수 일지 아닐지는 개표를 해봐야 알 수 있겠네요,0.01,0.01,0.02,0.03,0.01,0.78,0.02,0.02,0.03,0.25
10033,안철수 해명 충격 유시민 이재명은 이런사람,0.02,0.01,0.02,0.04,0.02,0.93,0.02,0.03,0.04,0.05
10093,안철수는 지난 서울시장 선거때 부터 합당을 할려고 했을지도 모르지 한나라당 안에서 경선을 하면 윤석열이 아니라 안철수가 대선후보가 됐을지도 만약 이번에 대선후보가 못됐다 해도 다음 대선에는 충분하니까 그래서 이준새끼가 안철수를 합당 하지 못하게 욕을 퍼부으면서 필사적으로 막은거고,0.02,0.02,0.02,0.08,0.02,0.87,0.02,0.02,0.03,0.2
10411,이는 안철수와의 그 얄팍한 단일화에서도 나타난다 안을 지지하는 유권자들이 전부 자신의 편이 될 줄 아는 그 안일함 지금의 답이 없어질대로 없어진 민주당이라면 이 정도의 수고로도 승리가 가능할 것이라는 무책임함 지금의 유권자들은 옛날만큼 멍청하지가 않다,0.02,0.01,0.02,0.05,0.01,0.9,0.02,0.03,0.03,0.11
10799,내 상사가 아무래도 안철수 찍으실 분 같았는데 이렇게 되어서 1번 뽑으실듯,0.02,0.02,0.02,0.1,0.02,0.9,0.02,0.02,0.02,0.17
10808,아 호남이 16년도에 안철수당 밀어줬었구나,0.01,0.01,0.01,0.03,0.01,0.73,0.02,0.03,0.09,0.13
10957,지지자들에 사과 손편지 쓴 안철수 정권교체 못하는 상황만은 막아야 했다 출처 JTBC 네이버 뉴스,0.01,0.01,0.02,0.05,0.01,0.67,0.01,0.06,0.15,0.07
11044,제발 아무것도 하지마 너만 가만히 있으면 대한민국 살기 좋아 부탁 좀 할께 철수야,0.02,0.01,0.01,0.02,0.01,0.85,0.02,0.05,0.1,0.1
11058,안철수에게 사퇴잘했음 이걸로 정치생명 끝이니 땡큐 회사 동문회 친목모임등 작은 모임을해도 회장 대표가 임원 혹은 전체 회원과 의논하며 결정한다 원내대표도 모르게 너만 결정해서 사퇴했다구 넌 민주주의가 뭔지 모르는 그냥 독재주의자 였을뿐,0.01,0.01,0.01,0.02,0.01,0.67,0.01,0.03,0.05,0.26
11100,춤추는 안랩 주가 안철수 윤석열 단일화 약발 하루 다음 뉴스 단일화 첫날 7 폭등했지만 다음날 다시 조정 1월 최대 12만원대였지만 지금은 반토막,0.01,0.01,0.01,0.03,0.01,0.83,0.02,0.03,0.06,0.15
11237,근데 윤 낙선되면 이준석이랑 안철수까지 다같이 매장되는 각 아녀,0.03,0.01,0.02,0.06,0.02,0.94,0.03,0.04,0.04,0.05
11472,일타삼피 윤석열 서초동윤서방파 적폐청산 정의당 심상정 안철수 확실한 철수,0.01,0.01,0.01,0.02,0.01,0.62,0.01,0.02,0.08,0.34
11515,했네 했어 안철수도 수다 인용 너무 웃겨서 빡빡 웃다가 빡쳤다가 또 빡빡 처웃다가 시발,0.02,0.01,0.02,0.02,0.01,0.71,0.01,0.04,0.21,0.07
11569,철수 역쉬 철수야 잘 했다 후회한다 속지 마시오,0.01,0.01,0.02,0.05,0.01,0.89,0.02,0.03,0.05,0.06
