,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
3853,정말 만분의 하나 이재명이 대통령이 된다면 그와 민주당은 80%는 박지현 위원장의 공로라는 것을 반드시 기억하기 바란다. 만인 앞에서 마스크를 벗고 자기를 드러낸 것은 생각보다 위험한 행동이다. 딥페이크는 물론 조두순 출소 때처럼 골수 '패미' 죽이러 간다고 나설 미친놈들이 얼마든지 있다. ,0.7,0.02,0.04,0.02,0.01,0.01,0.01,0.1,0.14,0.06
3931,"'눈물 유세' 20대 박지현 ""여가부 폐지, 우리 가족은 공포스럽다""""제발 살려 주세요~!"" ",0.81,0.02,0.02,0.02,0.01,0.01,0.01,0.04,0.1,0.19
3943,20대 여자들의 표심을 죄다 공략하겠다는 승부수가 보인다... 만약 이재명 당선되면 박지현씨한테 정말 큰절하고 여성정책 제대로 해야해... ,0.8,0.02,0.01,0.02,0.02,0.02,0.01,0.03,0.08,0.16
3969,"박지현 위원장 정말 보배다. 기존의 페미를 상징하던 심상정, 류호정, 장혜영, 신지예 따위와 비교조차 미안한 수준.",0.69,0.01,0.02,0.03,0.01,0.01,0.01,0.03,0.06,0.39
4100,  여성인권? 페미니스트? 누가? ,0.65,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.07,0.4
4166, 여성유세ㅋㅋㅋㅋㅋ 모지리 트페미들 선동하며 분열의 아이콘이 됐구나? 좋것다?ㅋ,0.85,0.02,0.03,0.02,0.02,0.01,0.01,0.06,0.15,0.07
4179,  여가부 해체이유를 국민께 설득 해봐라 !,0.76,0.01,0.02,0.04,0.01,0.01,0.01,0.05,0.12,0.14
4188,하다하다 박지현씨 트위터까지와서 저짓해대는 저것들은 여자이길 포기한거지 응 예전부터 여성 관련 모든 부분에서 유구한 빻음을 보여줬지만 이렇게 지대로 선넘을줄이야 근데 어케보면 지들 어울리는대로 정치색 찾아간느낌이라 나쁘지않아 고인물에서 썩어도좋으니까 그 사이트에서 나오지들말길,0.68,0.1,0.02,0.01,0.01,0.01,0.01,0.04,0.16,0.06
4228,2030 여성들은 박지현을 지키기 위해서는이번 투표 뿐 아니라 당에 가입해서 세력을 모은 뒤박지현을 정말로 지켜줘야한다.옛날에도 어떤 페미한테 말했었다.니들이 정치를 해야한다고.페미니즘을 위해서 여성을 위해서뭐든 지키고 싶으면 힘있는 정당 안에 들어가서세력화 하라.,0.75,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.07,0.31
4340,2030남자들에게 페미니즘사이트 인터뷰 안 하겠다고 비위 맞추다가 대선 막판에 행보 수정한 게 ‘올인’씩이나 되는 거였냐고? 그래놓고 여자들에게 또 협박질이나 하지 그냥 박지현님 섭외한 후 남자들은 입 닥치고 있는 게 최선일텐데 왜 고작 이게 올인이고 안티페미새싹 많다고 증언하지ㅋㅋㅋ,0.8,0.05,0.01,0.02,0.01,0.01,0.01,0.03,0.14,0.07
4343,이대녀들이 미쳤냐🤬 박지현이 이재명 찍는다고 선동해서 이런꼴 당하고 싶냐! 이십대 여자들아~~ ,0.91,0.04,0.03,0.03,0.02,0.02,0.01,0.05,0.06,0.07
4396,이제 두렵지 않다는 말이 가슴을 저민다. 이재명을 찍어서 박지현을 지키고 여자들을 범죄에서 지킵시다 ,0.71,0.1,0.03,0.02,0.01,0.01,0.01,0.02,0.09,0.16
4525,"   .👹이재명 후보 조카!👹여자친구를 19번 찔러잔혹하게 살해한 사건이""데이트 폭력""이고!😭딸이 보는 앞에서엄마를 회칼로 18번 찔러살해한 흉악범을""심신미약""이라 변호!😠이렇게 여성인권을무참히 짓밟고패미니즘 운운하면서이 나라의 지도자가 된다면?.",0.71,0.03,0.02,0.03,0.01,0.01,0.01,0.05,0.17,0.09
4585, 꼴페미 주장중 기막힌 한가지가 '박근혜가 여자라탄 핵당했다'꼴페미 목적은 한가지다.남성혐오를 대한민국에 이식시켜 그 자리를 해처먹겠다는것.또 다른 행태의 성차별인것.그러니 탄핵범 박근혜도 다수 성범죄 변호사 이죄명이도 지지하는것.휴머니즘(O) 페미니즘(X),0.9,0.02,0.02,0.04,0.01,0.02,0.02,0.05,0.05,0.06
4593, 득보다 실이 많은 여가부 당신들만의 이익을 위해 유지하는 것 반대합니다,0.66,0.01,0.02,0.03,0.01,0.01,0.01,0.07,0.2,0.14
4595, 여가부가 좋은 일에는 속할지 모르나 큰 그림을 보면 우리 아이들의 미래에 더 부정적인 영향력을 주는 페미 집단은 역사에서 사라져야합니다,0.83,0.01,0.02,0.02,0.01,0.02,0.01,0.05,0.09,0.11
4608, 여성팔이 잘 하고 오세요.,0.62,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.17,0.27
4616,하긴 박지현 님 보고 아가리페미라고 하는 흉자집단이 뭘 알겠냐,0.92,0.07,0.04,0.02,0.02,0.02,0.01,0.04,0.04,0.04
